#         T:            mu:         sigma:             H:           err:
   0.0257673       0.694748       0.553982      -0.372088     0.00368331
   0.0255096       0.790937       0.624534      -0.442083     0.00232161
   0.0252546       0.790464       0.682031      -0.418864     0.00441447
    0.025002       0.769174       0.613152      -0.440724      0.0025672
    0.024752       0.767527       0.639131      -0.437802     0.00241438
   0.0245045       0.738975       0.648764      -0.432278     0.00240351
   0.0242594       0.768893       0.614541      -0.441065      0.0025597
   0.0240168        0.80772       0.590645      -0.436052     0.00285589
   0.0237767       0.814478       0.574348      -0.428348     0.00306293
   0.0235389       0.844205       0.606922      -0.437077     0.00255809
   0.0233035       0.883074        0.61927      -0.413722      0.0036358
   0.0230705       0.818188       0.636022      -0.443879     0.00239569
   0.0228398       0.668553        0.58273      -0.376812      0.0031916
   0.0226114       0.698518        0.67434      -0.399765     0.00348145
   0.0223853       0.742645       0.611996      -0.436288     0.00273005
   0.0221614       0.727677       0.577176      -0.413097     0.00322208
   0.0219398       0.757371       0.604657      -0.436743      0.0020313
   0.0217204       0.722502       0.641145      -0.420006     0.00252474
   0.0215032       0.707129       0.627153      -0.417007     0.00227559
   0.0212882       0.769779       0.627833      -0.442453     0.00254134
   0.0210753       0.734881       0.713332      -0.393568     0.00464354
   0.0208645       0.699574       0.655512       -0.40338     0.00237146
   0.0206559       0.680083       0.625794      -0.391024     0.00272277
   0.0204493       0.717639       0.652428      -0.416386     0.00255578
   0.0202448         0.7061        0.67215      -0.406806     0.00404325
   0.0200424       0.747383       0.678094      -0.417061      0.0031286
   0.0198419        0.72497       0.640757       -0.42162     0.00239667
   0.0196435       0.765858       0.629022      -0.442064     0.00205585
   0.0194471       0.793523       0.641039      -0.440736     0.00261182
   0.0192526       0.784415       0.614583       -0.44498     0.00238461
   0.0190601        0.72068       0.623281      -0.423878     0.00202451
   0.0188695       0.736955       0.631059      -0.428568      0.0024474
   0.0186808        0.76036       0.623263      -0.442612     0.00219318
    0.018494       0.728193       0.653156      -0.416612     0.00294616
   0.0183091       0.700868       0.610406      -0.412874     0.00260182
    0.018126       0.677137       0.610792      -0.387876     0.00260077
   0.0179447       0.743445       0.679262      -0.418037     0.00309853
   0.0177653       0.682211       0.641098      -0.402411     0.00273787
   0.0175876       0.729058       0.612116      -0.421442     0.00279122
   0.0174117       0.751329       0.623022      -0.434649     0.00247587
   0.0172376       0.759589       0.656341      -0.434191     0.00277959
   0.0170652       0.745077       0.704866      -0.396256     0.00413201
   0.0168946       0.831053       0.646595      -0.436711     0.00444182
   0.0167256        0.80332       0.631452      -0.443824     0.00238483
   0.0165584       0.772048       0.609899      -0.442157     0.00222708
   0.0163928       0.771479       0.621612       -0.44311      0.0022067
   0.0162289       0.789295       0.614685      -0.446835     0.00208981
   0.0160666       0.720497         0.6556      -0.417326     0.00205387
   0.0159059       0.754667       0.639876      -0.434595       0.002701
   0.0157469       0.729411       0.608808       -0.42637     0.00244531
   0.0155894       0.745079        0.61285      -0.434132     0.00235301
   0.0154335       0.707849       0.580892       -0.40129     0.00268165
   0.0152792       0.725399       0.636717      -0.424663     0.00246156
   0.0151264       0.829817       0.647155      -0.435835     0.00373869
   0.0149751        0.82816        0.66306      -0.417831     0.00478115
   0.0148254        0.88125        0.67848      -0.378242     0.00684238
   0.0146771       0.892057       0.585146      -0.407964     0.00295334
